"xcoord","ycoord","id","boro","tree.next7","tree.sandy"
930000,135000,7253,"SI",1,NA
930000,136000,7254,"SI",1,1
930000,137000,7247,"SI",1,1
930000,138000,7207,"SI",1,NA
930000,139000,7197,"SI",1,0
930000,140000,7204,"SI",NA,NA
930000,141000,7199,"SI",1,NA
930000,142000,7188,"SI",1,NA
930000,143000,7189,"SI",NA,NA
930000,144000,7187,"SI",NA,NA
930000,151000,6781,"SI",NA,NA
930000,153000,6778,"SI",1,NA
930000,154000,6777,"SI",NA,NA
930000,157000,6789,"SI",NA,NA
930000,158000,6652,"SI",NA,NA
930000,159000,6651,"SI",NA,NA
930000,160000,6654,"SI",NA,NA
930000,164000,6656,"SI",NA,NA
930000,169000,6657,"SI",NA,NA
931000,128000,7292,"SI",NA,NA
931000,131000,7290,"SI",NA,NA
931000,132000,7291,"SI",1,NA
931000,133000,7252,"SI",1,1
931000,134000,7251,"SI",NA,NA
931000,135000,7245,"SI",1,NA
931000,136000,7243,"SI",1,1
931000,137000,7244,"SI",1,NA
931000,138000,7208,"SI",1,1
931000,139000,7196,"SI",1,NA
931000,140000,7194,"SI",1,NA
931000,141000,7185,"SI",NA,NA
931000,143000,7186,"SI",NA,NA
931000,144000,7183,"SI",NA,NA
931000,145000,7191,"SI",NA,NA
931000,153000,6776,"SI",NA,NA
931000,154000,6774,"SI",0,NA
931000,155000,6773,"SI",NA,NA
931000,156000,6785,"SI",0,1
931000,158000,6788,"SI",NA,NA
931000,159000,6653,"SI",NA,NA
932000,129000,7293,"SI",1,NA
932000,130000,7285,"SI",NA,NA
932000,131000,7286,"SI",1,NA
932000,132000,7289,"SI",1,NA
932000,133000,7288,"SI",1,NA
932000,134000,7250,"SI",NA,NA
932000,135000,7246,"SI",1,1
932000,136000,7241,"SI",1,NA
932000,137000,7242,"SI",NA,NA
932000,138000,7240,"SI",1,1
932000,139000,7195,"SI",1,1
932000,140000,7175,"SI",1,NA
932000,141000,7184,"SI",NA,NA
932000,143000,7180,"SI",NA,NA
932000,144000,7181,"SI",0,1
932000,145000,7182,"SI",NA,NA
932000,147000,7192,"SI",NA,NA
932000,153000,6775,"SI",NA,NA
932000,154000,6772,"SI",1,NA
932000,155000,6771,"SI",NA,NA
932000,156000,6769,"SI",NA,NA
932000,157000,6786,"SI",NA,NA
932000,159000,6655,"SI",NA,NA
932000,161000,6646,"SI",NA,NA
932000,162000,6647,"SI",NA,NA
933000,129000,7282,"SI",1,NA
933000,130000,7283,"SI",1,NA
933000,131000,7284,"SI",NA,NA
933000,132000,7287,"SI",NA,NA
933000,133000,7279,"SI",NA,NA
933000,134000,7248,"SI",1,NA
933000,135000,7237,"SI",1,1
933000,136000,7238,"SI",1,NA
933000,137000,7239,"SI",NA,NA
933000,138000,7233,"SI",1,NA
933000,139000,7174,"SI",1,1
933000,140000,7171,"SI",1,1
933000,141000,7167,"SI",1,1
933000,142000,7179,"SI",0,NA
933000,143000,7176,"SI",NA,NA
933000,144000,7177,"SI",NA,NA
933000,145000,7178,"SI",1,NA
933000,146000,7193,"SI",NA,NA
933000,154000,6780,"SI",NA,NA
933000,155000,6770,"SI",1,NA
933000,156000,6765,"SI",1,NA
933000,157000,6767,"SI",0,NA
933000,158000,6787,"SI",NA,NA
933000,162000,6649,"SI",NA,NA
933000,163000,6648,"SI",NA,NA
933000,168000,6658,"SI",NA,NA
933000,169000,6593,"SI",NA,NA
933000,170000,6595,"SI",NA,NA
934000,129000,7280,"SI",NA,1
934000,130000,7281,"SI",1,NA
934000,131000,7276,"SI",1,NA
934000,132000,7277,"SI",1,NA
934000,133000,7278,"SI",NA,NA
934000,134000,7249,"SI",NA,NA
934000,135000,7235,"SI",1,NA
934000,136000,7236,"SI",1,1
934000,137000,7232,"SI",1,1
934000,138000,7172,"SI",1,1
934000,139000,7173,"SI",1,NA
934000,140000,7164,"SI",1,1
934000,141000,7165,"SI",1,1
934000,142000,7166,"SI",1,NA
934000,143000,7168,"SI",NA,NA
934000,144000,7169,"SI",1,NA
934000,145000,7170,"SI",1,NA
934000,156000,6768,"SI",NA,NA
934000,157000,6766,"SI",NA,NA
934000,158000,6706,"SI",NA,NA
934000,160000,6709,"SI",NA,NA
934000,162000,6650,"SI",NA,NA
934000,163000,6644,"SI",NA,NA
934000,164000,6645,"SI",NA,NA
934000,167000,6659,"SI",NA,NA
934000,168000,6592,"SI",0,NA
934000,171000,6585,"SI",NA,NA
934000,172000,6594,"SI",NA,NA
934000,174000,6583,"SI",NA,NA
935000,129000,7274,"SI",NA,NA
935000,130000,7273,"SI",NA,NA
935000,131000,7272,"SI",1,NA
935000,132000,7270,"SI",NA,1
935000,133000,7271,"SI",NA,NA
935000,134000,7266,"SI",1,NA
935000,135000,7234,"SI",1,NA
935000,136000,7230,"SI",1,NA
935000,137000,7231,"SI",1,0
935000,138000,7154,"SI",1,1
935000,139000,7162,"SI",1,1
935000,140000,7163,"SI",1,NA
935000,141000,7156,"SI",1,NA
935000,142000,7157,"SI",1,1
935000,143000,7158,"SI",1,1
935000,144000,7160,"SI",1,1
935000,145000,7161,"SI",1,NA
935000,158000,6704,"SI",NA,NA
935000,159000,6705,"SI",NA,NA
935000,160000,6710,"SI",NA,NA
935000,161000,6702,"SI",NA,NA
935000,162000,6642,"SI",NA,NA
935000,163000,6643,"SI",NA,NA
935000,168000,6591,"SI",NA,NA
935000,169000,6587,"SI",NA,NA
935000,170000,6586,"SI",NA,NA
935000,173000,6582,"SI",NA,NA
936000,129000,7275,"SI",NA,NA
936000,130000,7267,"SI",1,NA
936000,131000,7268,"SI",1,NA
936000,132000,7269,"SI",NA,NA
936000,133000,7265,"SI",1,NA
936000,134000,7261,"SI",1,1
936000,135000,7228,"SI",1,1
936000,136000,7229,"SI",1,1
936000,137000,7152,"SI",1,1
936000,138000,7153,"SI",1,0
936000,139000,7155,"SI",1,1
936000,140000,7148,"SI",1,0
936000,141000,7149,"SI",1,1
936000,142000,7150,"SI",1,1
936000,143000,7151,"SI",1,1
936000,144000,7159,"SI",1,NA
936000,150000,6761,"SI",NA,NA
936000,156000,6763,"SI",NA,NA
936000,158000,6696,"SI",NA,NA
936000,159000,6697,"SI",NA,NA
936000,160000,6707,"SI",NA,NA
936000,161000,6708,"SI",NA,NA
936000,164000,6641,"SI",NA,NA
936000,167000,6589,"SI",NA,NA
936000,168000,6588,"SI",NA,NA
936000,169000,6590,"SI",NA,NA
936000,171000,6584,"SI",NA,NA
936000,174000,6581,"SI",NA,NA
937000,130000,7264,"SI",NA,NA
937000,131000,7262,"SI",1,NA
937000,132000,7258,"SI",1,NA
937000,133000,7259,"SI",NA,1
937000,134000,7260,"SI",1,NA
937000,135000,7113,"SI",1,NA
937000,136000,7107,"SI",1,NA
937000,137000,7144,"SI",1,1
937000,138000,7145,"SI",1,1
937000,139000,7146,"SI",1,1
937000,140000,7147,"SI",1,1
937000,141000,7138,"SI",1,1
937000,142000,7139,"SI",1,1
937000,143000,7140,"SI",1,1
937000,144000,7141,"SI",0,NA
937000,148000,6728,"SI",NA,NA
937000,149000,6760,"SI",NA,NA
937000,154000,6762,"SI",NA,NA
937000,157000,6695,"SI",NA,NA
937000,159000,6698,"SI",NA,NA
937000,160000,6699,"SI",1,NA
937000,161000,6703,"SI",1,NA
937000,162000,6619,"SI",0,NA
937000,163000,6620,"SI",1,NA
937000,164000,6625,"SI",NA,NA
937000,165000,6640,"SI",NA,NA
937000,166000,6638,"SI",NA,NA
937000,167000,6639,"SI",NA,NA
937000,168000,6579,"SI",NA,NA
937000,169000,6580,"SI",NA,NA
937000,170000,6578,"SI",NA,NA
937000,171000,6577,"SI",1,NA
937000,172000,6576,"SI",0,NA
937000,173000,6562,"SI",1,NA
938000,130000,7263,"SI",NA,NA
938000,131000,7256,"SI",1,1
938000,132000,7257,"SI",1,1
938000,133000,7114,"SI",1,1
938000,134000,7108,"SI",1,NA
938000,135000,7103,"SI",1,1
938000,136000,7100,"SI",1,1
938000,137000,7101,"SI",1,NA
938000,138000,7134,"SI",1,1
938000,139000,7135,"SI",1,1
938000,140000,7136,"SI",1,1
938000,141000,7137,"SI",1,NA
938000,142000,7131,"SI",1,1
938000,143000,7132,"SI",1,1
938000,144000,7143,"SI",NA,NA
938000,148000,6729,"SI",NA,NA
938000,149000,6753,"SI",NA,NA
938000,151000,6750,"SI",NA,NA
938000,152000,6749,"SI",NA,NA
938000,153000,6748,"SI",1,NA
938000,154000,6739,"SI",0,0
938000,155000,6764,"SI",0,0
938000,156000,6693,"SI",1,NA
938000,157000,6694,"SI",1,1
938000,158000,6691,"SI",1,1
938000,159000,6692,"SI",1,1
938000,160000,6700,"SI",1,NA
938000,161000,6701,"SI",1,NA
938000,162000,6618,"SI",1,1
938000,163000,6621,"SI",NA,1
938000,164000,6624,"SI",1,NA
938000,165000,6629,"SI",NA,NA
938000,166000,6631,"SI",1,1
938000,167000,6635,"SI",1,NA
938000,168000,6571,"SI",NA,NA
938000,169000,6575,"SI",1,NA
938000,170000,6574,"SI",1,NA
938000,171000,6572,"SI",1,NA
938000,172000,6573,"SI",0,NA
938000,173000,6561,"SI",NA,NA
939000,131000,7255,"SI",1,NA
939000,132000,7111,"SI",1,1
939000,133000,7110,"SI",1,1
939000,134000,7105,"SI",1,0
939000,135000,7102,"SI",1,NA
939000,136000,7083,"SI",1,NA
939000,137000,7081,"SI",1,NA
939000,138000,7133,"SI",NA,1
939000,139000,7128,"SI",1,1
939000,140000,7129,"SI",1,1
939000,141000,7130,"SI",1,1
939000,142000,7125,"SI",1,1
939000,143000,7126,"SI",1,NA
939000,144000,7127,"SI",0,0
939000,149000,6754,"SI",NA,0
939000,150000,6752,"SI",NA,NA
939000,151000,6758,"SI",NA,NA
939000,152000,6751,"SI",NA,NA
939000,153000,6741,"SI",1,1
939000,154000,6740,"SI",1,0
939000,155000,6730,"SI",1,1
939000,156000,6690,"SI",1,NA
939000,157000,6679,"SI",0,NA
939000,158000,6681,"SI",NA,NA
939000,159000,6682,"SI",1,1
939000,160000,6687,"SI",1,NA
939000,161000,6617,"SI",1,NA
939000,162000,6622,"SI",1,1
939000,163000,6623,"SI",1,NA
939000,164000,6626,"SI",NA,NA
939000,165000,6628,"SI",NA,1
939000,166000,6632,"SI",1,1
939000,167000,6636,"SI",NA,NA
939000,168000,6570,"SI",NA,0
939000,169000,6569,"SI",NA,NA
939000,170000,6567,"SI",0,NA
939000,171000,6568,"SI",1,NA
939000,172000,6559,"SI",1,NA
939000,173000,6560,"SI",NA,NA
940000,132000,7112,"SI",1,NA
940000,133000,7109,"SI",1,1
940000,134000,7104,"SI",1,1
940000,135000,7088,"SI",1,1
940000,136000,7082,"SI",NA,1
940000,137000,7079,"SI",0,1
940000,138000,7077,"SI",1,1
940000,139000,7078,"SI",1,1
940000,140000,7124,"SI",1,1
940000,141000,7123,"SI",1,NA
940000,142000,7122,"SI",1,1
940000,143000,7120,"SI",1,1
940000,144000,7121,"SI",1,NA
940000,145000,7142,"SI",NA,NA
940000,150000,6755,"SI",NA,NA
940000,151000,6756,"SI",1,NA
940000,152000,6747,"SI",1,NA
940000,153000,6742,"SI",1,1
940000,154000,6732,"SI",1,0
940000,155000,6731,"SI",1,NA
940000,156000,6680,"SI",NA,1
940000,157000,6678,"SI",NA,NA
940000,159000,6683,"SI",NA,NA
940000,160000,6688,"SI",1,NA
940000,161000,6616,"SI",1,NA
940000,162000,6612,"SI",1,0
940000,163000,6613,"SI",1,NA
940000,164000,6627,"SI",1,NA
940000,165000,6630,"SI",1,NA
940000,166000,6633,"SI",1,NA
940000,167000,6637,"SI",1,1
940000,168000,6566,"SI",1,NA
940000,169000,6565,"SI",NA,NA
940000,170000,6563,"SI",NA,NA
940000,171000,6564,"SI",1,NA
940000,172000,6558,"SI",NA,NA
940000,174000,6556,"SI",NA,NA
941000,132000,7115,"SI",NA,NA
941000,133000,7106,"SI",1,NA
941000,134000,7093,"SI",1,0
941000,135000,7089,"SI",1,1
941000,136000,7087,"SI",1,NA
941000,137000,7080,"SI",NA,1
941000,138000,7076,"SI",NA,NA
941000,139000,7075,"SI",1,1
941000,140000,7117,"SI",1,1
941000,141000,7118,"SI",1,1
941000,142000,7119,"SI",1,1
941000,143000,7030,"SI",1,1
941000,144000,7028,"SI",1,1
941000,145000,7026,"SI",NA,NA
941000,150000,6757,"SI",NA,NA
941000,151000,6759,"SI",1,1
941000,152000,6746,"SI",1,0
941000,153000,6738,"SI",1,NA
941000,154000,6733,"SI",1,0
941000,155000,6675,"SI",1,NA
941000,156000,6677,"SI",NA,NA
941000,161000,6615,"SI",1,NA
941000,162000,6614,"SI",NA,NA
941000,163000,6610,"SI",NA,NA
941000,164000,6605,"SI",0,1
941000,165000,6606,"SI",1,NA
941000,166000,6634,"SI",NA,NA
941000,167000,6555,"SI",NA,NA
941000,168000,6553,"SI",0,NA
941000,169000,6554,"SI",NA,NA
941000,170000,6551,"SI",0,1
941000,171000,6552,"SI",0,NA
941000,172000,6557,"SI",NA,NA
942000,132000,7116,"SI",NA,NA
942000,133000,7099,"SI",1,NA
942000,134000,7094,"SI",0,1
942000,135000,7092,"SI",1,1
942000,136000,7086,"SI",1,NA
942000,137000,7085,"SI",1,NA
942000,138000,7084,"SI",1,1
942000,139000,7068,"SI",1,NA
942000,140000,7067,"SI",0,1
942000,141000,7032,"SI",1,1
942000,142000,7031,"SI",0,1
942000,143000,7029,"SI",1,1
942000,144000,7027,"SI",NA,NA
942000,145000,7025,"SI",1,1
942000,146000,7007,"SI",NA,NA
942000,147000,7006,"SI",NA,NA
942000,151000,6745,"SI",1,NA
942000,152000,6743,"SI",NA,1
942000,153000,6737,"SI",1,1
942000,154000,6736,"SI",0,NA
942000,155000,6674,"SI",NA,NA
942000,156000,6676,"SI",NA,NA
942000,158000,6684,"SI",NA,NA
942000,161000,6689,"SI",NA,NA
942000,162000,6611,"SI",NA,1
942000,163000,6609,"SI",1,NA
942000,164000,6604,"SI",1,1
942000,165000,6603,"SI",NA,NA
942000,166000,6602,"SI",NA,NA
942000,167000,6550,"SI",1,1
942000,168000,6548,"SI",1,NA
942000,169000,6549,"SI",1,NA
942000,170000,6546,"SI",0,NA
942000,171000,6547,"SI",0,NA
942000,172000,6536,"SI",NA,NA
943000,134000,7098,"SI",NA,NA
943000,135000,7091,"SI",1,1
943000,136000,7090,"SI",1,NA
943000,137000,7070,"SI",1,1
943000,138000,7069,"SI",1,NA
943000,139000,7065,"SI",1,NA
943000,140000,7034,"SI",1,NA
943000,141000,7033,"SI",1,1
943000,142000,7023,"SI",1,NA
943000,143000,7024,"SI",1,1
943000,144000,7020,"SI",1,NA
943000,145000,7014,"SI",1,NA
943000,146000,7008,"SI",1,NA
943000,147000,7005,"SI",NA,NA
943000,148000,6725,"SI",NA,NA
943000,150000,6727,"SI",NA,NA
943000,152000,6744,"SI",1,NA
943000,153000,6734,"SI",1,1
943000,154000,6672,"SI",1,1
943000,155000,6673,"SI",NA,0
943000,156000,6685,"SI",NA,NA
943000,160000,6436,"SI",1,NA
943000,161000,6437,"SI",NA,NA
943000,162000,6608,"SI",1,NA
943000,163000,6607,"SI",1,NA
943000,164000,6601,"SI",1,NA
943000,165000,6600,"SI",1,NA
943000,166000,6599,"SI",1,NA
943000,167000,6543,"SI",1,NA
943000,168000,6541,"SI",1,NA
943000,169000,6542,"SI",1,NA
943000,170000,6545,"SI",NA,NA
943000,171000,6544,"SI",1,1
943000,172000,6535,"SI",NA,NA
944000,135000,7096,"SI",1,0
944000,136000,7095,"SI",1,1
944000,137000,7071,"SI",1,NA
944000,138000,7066,"SI",0,1
944000,139000,7063,"SI",1,NA
944000,140000,7036,"SI",1,NA
944000,141000,7035,"SI",NA,NA
944000,142000,7019,"SI",1,1
944000,143000,7016,"SI",1,1
944000,144000,7015,"SI",NA,NA
944000,145000,7013,"SI",NA,NA
944000,147000,7004,"SI",NA,NA
944000,148000,6724,"SI",NA,NA
944000,153000,6735,"SI",NA,NA
944000,154000,6663,"SI",1,NA
944000,155000,6664,"SI",NA,NA
944000,156000,6665,"SI",1,NA
944000,158000,6686,"SI",NA,NA
944000,159000,6435,"SI",NA,NA
944000,160000,6434,"SI",1,NA
944000,161000,6421,"SI",NA,NA
944000,162000,6333,"SI",1,NA
944000,163000,6331,"SI",1,NA
944000,164000,6332,"SI",1,NA
944000,165000,6597,"SI",1,NA
944000,166000,6596,"SI",1,1
944000,167000,6525,"SI",0,NA
944000,168000,6540,"SI",1,NA
944000,169000,6539,"SI",0,NA
944000,170000,6537,"SI",NA,NA
944000,171000,6538,"SI",1,1
944000,172000,6534,"SI",0,NA
945000,135000,7097,"SI",NA,NA
945000,136000,7074,"SI",NA,NA
945000,137000,7073,"SI",NA,NA
945000,138000,7064,"SI",1,NA
945000,139000,7061,"SI",1,NA
945000,140000,7059,"SI",1,NA
945000,141000,7037,"SI",1,NA
945000,142000,7018,"SI",0,NA
945000,143000,7017,"SI",1,NA
945000,144000,7012,"SI",NA,1
945000,145000,7010,"SI",1,NA
945000,146000,7003,"SI",1,NA
945000,147000,7002,"SI",1,NA
945000,148000,6721,"SI",NA,NA
945000,149000,6722,"SI",NA,NA
945000,150000,6723,"SI",NA,NA
945000,154000,6662,"SI",1,1
945000,155000,6661,"SI",NA,NA
945000,156000,6666,"SI",NA,1
945000,157000,6667,"SI",0,NA
945000,158000,6670,"SI",NA,NA
945000,159000,6433,"SI",1,NA
945000,160000,6432,"SI",1,NA
945000,161000,6420,"SI",1,1
945000,162000,6329,"SI",1,NA
945000,163000,6330,"SI",1,1
945000,164000,6324,"SI",1,NA
945000,165000,6598,"SI",1,NA
945000,166000,6319,"SI",1,NA
945000,167000,6318,"SI",1,NA
945000,168000,6524,"SI",1,NA
945000,169000,6523,"SI",1,NA
945000,170000,6531,"SI",0,NA
945000,171000,6530,"SI",NA,0
945000,172000,6533,"SI",1,NA
945000,173000,6532,"SI",NA,NA
946000,138000,7072,"SI",NA,NA
946000,139000,7062,"SI",1,NA
946000,140000,7058,"SI",1,NA
946000,141000,7054,"SI",1,1
946000,142000,7053,"SI",1,NA
946000,143000,7021,"SI",1,1
946000,144000,7011,"SI",NA,NA
946000,145000,7009,"SI",1,1
946000,146000,7000,"SI",1,1
946000,147000,7001,"SI",1,NA
946000,148000,6717,"SI",NA,NA
946000,149000,6718,"SI",1,NA
946000,150000,6720,"SI",NA,NA
946000,157000,6669,"SI",1,NA
946000,158000,6671,"SI",1,1
946000,159000,6431,"SI",1,1
